time,station,tlmax,tlmin,tl_mittel,rf_mittel
1990-01-01T00:00+00:00,5925,-0.1,-1.6,-0.9,83.0
1990-01-02T00:00+00:00,5925,1.4,-2.3,-0.5,78.0
1990-01-03T00:00+00:00,5925,1.4,-0.7,0.4,66.0
1990-01-04T00:00+00:00,5925,1.2,-5.5,-2.2,78.0
1990-01-05T00:00+00:00,5925,-1.0,-4.6,-2.8,85.0
1990-01-06T00:00+00:00,5925,-3.4,-5.7,-4.6,78.0
1990-01-07T00:00+00:00,5925,-5.2,-8.5,-6.9,90.0
1990-01-08T00:00+00:00,5925,-5.4,-8.0,-6.7,92.0
1990-01-09T00:00+00:00,5925,-1.7,-8.7,-5.2,81.0
1990-01-10T00:00+00:00,5925,1.0,-2.7,-0.9,75.0
1990-01-11T00:00+00:00,5925,-1.5,-5.3,-3.4,90.0
1990-01-12T00:00+00:00,5925,-1.7,-7.3,-4.5,90.0
1990-01-13T00:00+00:00,5925,-4.3,-7.2,-5.8,98.0
1990-01-14T00:00+00:00,5925,-1.1,-6.5,-3.8,92.0
1990-01-15T00:00+00:00,5925,-1.5,-3.7,-2.6,95.0
1990-01-16T00:00+00:00,5925,9.1,-4.6,2.3,80.0
1990-01-17T00:00+00:00,5925,13.1,8.1,10.6,73.0
1990-01-18T00:00+00:00,5925,10.1,5.6,7.9,67.0
1990-01-19T00:00+00:00,5925,6.9,2.5,4.7,67.0
1990-01-20T00:00+00:00,5925,7.0,2.9,5.0,63.0
1990-01-21T00:00+00:00,5925,8.3,5.3,6.8,83.0
1990-01-22T00:00+00:00,5925,12.8,7.8,10.3,67.0
1990-01-23T00:00+00:00,5925,9.8,2.8,6.3,80.0
1990-01-24T00:00+00:00,5925,9.8,0.1,5.0,81.0
1990-01-25T00:00+00:00,5925,10.4,5.1,7.8,65.0
1990-01-26T00:00+00:00,5925,10.9,7.6,9.3,60.0
1990-01-27T00:00+00:00,5925,12.8,4.1,8.5,52.0
1990-01-28T00:00+00:00,5925,7.9,1.4,4.7,84.0
1990-01-29T00:00+00:00,5925,8.2,4.1,6.2,75.0
1990-01-30T00:00+00:00,5925,7.5,3.8,5.7,94.0
1990-01-31T00:00+00:00,5925,6.5,0.2,3.4,98.0
1990-02-01T00:00+00:00,5925,7.4,4.7,6.1,90.0
1990-02-02T00:00+00:00,5925,8.6,3.1,5.9,80.0
1990-02-03T00:00+00:00,5925,13.3,3.8,8.6,72.0
1990-02-04T00:00+00:00,5925,12.7,8.4,10.6,49.0
1990-02-05T00:00+00:00,5925,10.4,2.2,6.3,62.0
1990-02-06T00:00+00:00,5925,11.6,1.4,6.5,65.0
1990-02-07T00:00+00:00,5925,9.3,2.8,6.1,75.0
1990-02-08T00:00+00:00,5925,7.9,1.0,4.5,84.0
1990-02-09T00:00+00:00,5925,13.8,6.9,10.4,53.0
1990-02-10T00:00+00:00,5925,9.4,3.3,6.4,63.0
1990-02-11T00:00+00:00,5925,6.3,3.4,4.9,77.0
1990-02-12T00:00+00:00,5925,6.0,0.8,3.4,92.0
1990-02-13T00:00+00:00,5925,6.4,3.1,4.8,67.0
1990-02-14T00:00+00:00,5925,8.0,1.2,4.6,78.0
1990-02-15T00:00+00:00,5925,7.0,1.2,4.1,89.0
1990-02-16T00:00+00:00,5925,7.1,2.8,5.0,60.0
1990-02-17T00:00+00:00,5925,7.9,2.2,5.1,60.0
1990-02-18T00:00+00:00,5925,9.4,1.7,5.6,71.0
1990-02-19T00:00+00:00,5925,12.1,3.1,7.6,76.0
1990-02-20T00:00+00:00,5925,14.2,4.8,9.5,80.0
1990-02-21T00:00+00:00,5925,15.1,3.9,9.5,81.0
1990-02-22T00:00+00:00,5925,14.3,7.6,11.0,64.0
1990-02-23T00:00+00:00,5925,13.5,3.7,8.6,63.0
1990-02-24T00:00+00:00,5925,17.1,4.0,10.6,60.0
1990-02-25T00:00+00:00,5925,18.0,5.4,11.7,63.0
1990-02-26T00:00+00:00,5925,19.5,6.9,13.2,46.0
1990-02-27T00:00+00:00,5925,16.1,3.1,9.6,79.0
1990-02-28T00:00+00:00,5925,7.7,4.0,5.9,67.0
1990-03-01T00:00+00:00,5925,12.1,5.0,8.6,51.0
1990-03-02T00:00+00:00,5925,7.7,2.3,5.0,67.0
1990-03-03T00:00+00:00,5925,4.6,0.9,2.8,68.0
1990-03-04T00:00+00:00,5925,9.0,2.8,5.9,61.0
1990-03-05T00:00+00:00,5925,12.2,5.6,8.9,56.0
1990-03-06T00:00+00:00,5925,14.7,7.6,11.2,39.0
1990-03-07T00:00+00:00,5925,13.8,10.0,11.9,53.0
1990-03-08T00:00+00:00,5925,18.3,4.6,11.5,58.0
1990-03-09T00:00+00:00,5925,17.2,9.3,13.3,53.0
1990-03-10T00:00+00:00,5925,16.4,5.6,11.0,75.0
1990-03-11T00:00+00:00,5925,18.2,5.4,11.8,55.0
1990-03-12T00:00+00:00,5925,19.2,11.1,15.2,55.0
1990-03-13T00:00+00:00,5925,15.8,7.5,11.7,50.0
1990-03-14T00:00+00:00,5925,14.2,4.1,9.2,56.0
1990-03-15T00:00+00:00,5925,12.8,9.1,11.0,63.0
1990-03-16T00:00+00:00,5925,15.0,4.9,10.0,59.0
1990-03-17T00:00+00:00,5925,15.2,5.3,10.3,44.0
1990-03-18T00:00+00:00,5925,18.9,5.2,12.1,42.0
1990-03-19T00:00+00:00,5925,21.1,6.0,13.6,38.0
1990-03-20T00:00+00:00,5925,20.5,5.5,13.0,47.0
1990-03-21T00:00+00:00,5925,22.2,13.4,17.8,51.0
1990-03-22T00:00+00:00,5925,24.0,14.1,19.1,47.0
1990-03-23T00:00+00:00,5925,21.7,10.4,16.1,82.0
1990-03-24T00:00+00:00,5925,18.2,6.5,12.4,63.0
1990-03-25T00:00+00:00,5925,15.9,5.9,10.9,74.0
1990-03-26T00:00+00:00,5925,9.7,4.6,7.2,58.0
1990-03-27T00:00+00:00,5925,11.3,5.9,8.6,61.0
1990-03-28T00:00+00:00,5925,13.0,5.8,9.4,88.0
1990-03-29T00:00+00:00,5925,11.0,6.3,8.7,92.0
1990-03-30T00:00+00:00,5925,11.6,6.4,9.0,84.0
1990-03-31T00:00+00:00,5925,16.9,7.8,12.4,64.0
1990-04-01T00:00+00:00,5925,18.9,6.5,12.7,64.0
1990-04-02T00:00+00:00,5925,23.1,9.2,16.2,56.0
